order_id,order_date,customer_id,customer_name,region,country,product_category,product_subcategory,product_name,units_sold,unit_price,cost,revenue,profit,order_status,channel,order_month,profit_margin
1014,2024-07-02,C014,Bright Retail,South America,Argentina,Furniture,Office Chairs,Leather Task Chair,14,210.0,1050.0,2940.0,1890.0,Completed,Offline,2024-07,0.6429
1015,2024-07-18,C015,Homestyle,North America,Usa,Kitchen,Appliances,Smart Blender,16,130.0,1280.0,2080.0,800.0,Completed,Online,2024-07,0.3846
1016,2024-08-08,C016,Petal Stores,Europe,Italy,Clothing,Apparel,Summer Dress,48,45.0,900.0,2160.0,1260.0,Completed,Offline,2024-08,0.5833
1017,2024-08-22,C017,Elite Interiors,North America,Usa,Furniture,Desks,Height Adjustable Desk,9,390.0,2340.0,3510.0,1170.0,Completed,Online,2024-08,0.3333
1018,2024-09-05,C018,Sunrise Retail,Asia,Japan,Technology,Phones,Smartphone Z,12,780.0,9360.0,9360.0,0.0,Completed,Online,2024-09,0.0
1019,2024-09-19,C019,Capital Furniture,North America,Canada,Furniture,Storage,File Cabinet,28,110.0,1680.0,3080.0,1400.0,Completed,Offline,2024-09,0.4545
1020,2024-10-01,C020,Northern Mart,North America,Usa,Food,Beverages,Premium Tea Collection,75,18.0,885.0,1350.0,465.0,Completed,Online,2024-10,0.3444
1021,,C021,Blue Wave Retail,Europe,Germany,Technology,Accessories,Usb-C Hub,55,32.0,880.0,1760.0,880.0,Completed,Online,,0.5
1022,2024-10-28,C022,Fresh Retail,Asia,China,Food,Snacks,Protein Bars,120,3.5,360.0,420.0,60.0,Completed,Offline,2024-10,0.1429
1023,2024-11-05,C023,Omega Supplies,North America,Mexico,Office Supplies,Paper,Notebook Bundle,95,5.0,380.0,475.0,95.0,Completed,Online,2024-11,0.2
1024,2024-11-16,C024,Metro Traders,Asia,Singapore,Technology,Accessories,Wireless Charger,40,28.0,560.0,560.0,0.0,Completed,Online,2024-11,0.0
1025,2024-11-30,C025,Bright Retail,South America,Brazil,Furniture,Office Chairs,Executive Leather Chair,11,260.0,1540.0,2860.0,1320.0,Completed,Offline,2024-11,0.4615
1026,2024-12-08,C026,Homestyle,North America,Usa,Kitchen,Appliances,Coffee Maker,13,180.0,1300.0,2340.0,1040.0,Completed,Online,2024-12,0.4444
1027,2024-12-18,C027,Petal Stores,Europe,France,Clothing,Apparel,Sports Cap,70,14.0,420.0,980.0,560.0,Completed,Offline,2024-12,0.5714
1028,2024-12-24,C001,Elite Interiors,North America,Usa,Furniture,Office Chairs,Ergo Mesh Chair,12,125.0,720.0,1500.0,780.0,Completed,Online,2024-12,0.52
1029,2024-01-15,C001,Elite Interiors,North America,Usa,Furniture,Office Chairs,Ergo Mesh Chair,12,125.0,720.0,1500.0,780.0,Completed,Online,2024-01,0.52
1030,2024-02-05,C003,Metra Supplies,Asia,India,Office Supplies,Paper,Premium Printer Paper,80,8.5,320.0,680.0,360.0,Completed,Online,2024-02,0.5294
1031,2024-02-14,C031,Greenfield Stores,South America,Brazil,Technology,Laptops,Ultrabook Pro,7,950.0,5600.0,6650.0,1050.0,Pending,Online,2024-02,0.1579
1032,2024-03-22,C006,Urban Clothes,Europe,France,Clothing,Apparel,Winter Jacket,30,75.0,1200.0,2250.0,1050.0,Completed,Online,2024-03,0.4667
1033,2024-04-10,C008,Northern Mart,North America,Usa,Food,Beverages,Organic Coffee Beans,90,14.0,810.0,1260.0,450.0,Completed,Offline,2024-04,0.3571
1034,2024-12-24,C001,Elite Interiors,North America,Usa,Furniture,Office Chairs,Ergo Mesh Chair,12,125.0,720.0,1500.0,780.0,Completed,Online,2024-12,0.52
1035,2024-09-05,C018,Sunrise Retail,Asia,Japan,Technology,Phones,Smartphone Z,12,780.0,0.0,9360.0,9360.0,Completed,Online,2024-09,1.0
1036,2024-06-20,C013,Metro Traders,Asia,Singapore,Technology,Accessories,Noise-Cancelling Headphones,25,120.0,1800.0,3000.0,1200.0,Completed,Online,2024-06,0.4
1037,2024-07-18,C015,Homestyle,North America,Usa,Kitchen,Appliances,Smart Blender,16,130.0,1280.0,2080.0,800.0,Completed,Online,2024-07,0.3846
1038,2024-10-01,C020,Northern Mart,North America,Usa,Food,Beverages,Premium Tea Collection,75,18.0,885.0,1350.0,465.0,Completed,Online,2024-10,0.3444
1039,2024-11-16,C024,Metro Traders,Asia,Singapore,Technology,Accessories,Wireless Charger,40,28.0,560.0,560.0,0.0,Completed,Online,2024-11,0.0
1040,2024-12-08,C026,Homestyle,North America,Usa,Kitchen,Appliances,Coffee Maker,13,180.0,1300.0,2340.0,1040.0,Completed,Offline,2024-12,0.4444
1041,2024-05-05,C009,Value Comfort,Europe,Uk,Furniture,Storage,Modular Shelf Unit,22,130.0,1650.0,2860.0,1210.0,Completed,Online,2024-05,0.4231
1042,2024-08-22,C017,Elite Interiors,North America,Usa,Furniture,Desks,Height Adjustable Desk,9,390.0,2340.0,3510.0,1170.0,Completed,Online,2024-08,0.3333
1043,2024-06-12,C012,Urban Goods,Europe,Spain,Clothing,Shoes,Running Sneakers,38,85.0,1900.0,3230.0,1330.0,Completed,Offline,2024-06,0.4118
1044,2024-12-01,C018,Sunrise Retail,Asia,Japan,Technology,Phones,Smartphone Z,8,780.0,6240.0,6240.0,0.0,Completed,Online,2024-12,0.0
1045,2024-04-02,C007,Sunrise Retail,Asia,Japan,Technology,Phones,Smartphone X,18,650.0,9000.0,11700.0,2700.0,Completed,Online,2024-04,0.2308
1046,2024-02-18,C004,Greenfield Stores,South America,Brazil,Technology,Laptops,Ultrabook Pro,7,950.0,5600.0,6650.0,1050.0,Completed,Online,2024-02,0.1579
1047,2024-09-28,C019,Capital Furniture,North America,Canada,Furniture,Storage,File Cabinet,20,115.0,1500.0,2300.0,800.0,Completed,Offline,2024-09,0.3478
1048,2024-11-30,C025,Bright Retail,South America,Brazil,Furniture,Office Chairs,Executive Leather Chair,11,260.0,1540.0,2860.0,1320.0,Completed,Offline,2024-11,0.4615
1049,2024-03-15,C032,Harvest Stores,Europe,Netherlands,Food,Beverages,Artisan Juice,60,9.5,420.0,570.0,150.0,Completed,Offline,2024-03,0.2632
1050,2024-10-20,C033,Nextgen Retail,Asia,South Korea,Technology,Accessories,Bluetooth Speaker,50,45.0,1500.0,750.0,-750.0,Completed,Online,2024-10,-1.0
